parent_company_name,child_company_name
LENNAR CORP,THE SENTINAL TITLE CORPORATION
PFIZER INC,WL CUMBICA LLC
CITIGROUP INC,"AFSC AGENCY, INC. (SD)"
LENNAR CORP,"LNR LENNAR BRANNAN STREET, LLC"
DUKE ENERGY CORP,TEXAS EASTERN TERMINAL CO
BB&T CORP,"BRANCH HOLDINGS, LLC"
WELLS FARGO & CO,"WACHOVIA DEALER SERVICES, INC"
VENTAS INC,GREENVILLE MOB OWNERS LLC
LENNAR CORP,"CAMELOT VENTURES, LLC"
ALLSTATE CORP,"ALLSTATE ESURANCE HOLDINGS, INC"
SEMCO ENERGY INC,SURFACE
RYDER SYSTEM INC,RYDER CANADIAN FINANCING US LLC
CITIGROUP INC,"CITIDEL, INC"
VENTAS INC,"VENTAS NEXCORE HOLDINGS, LLC"
COMCAST CORP,"TCI TW TEXAS JV HOLDINGS V, INC"
LENNAR CORP,BOGGY CREEK LLC
DEAN FOODS CO,"DEAN NATIONAL BRAND GROUP GP, LLC RECEIVABLES"
CIT GROUP INC,"NORTH AMERICAN EXCHANGE, INC. / U.S."
KROGER CO,DISTRIBUTION TRUCKING COMPANY
WEYERHAEUSER CO,"MARACAY TRAILS, LLC"
DUKE ENERGY CORP,"MAY RIVER FOREST, LLC"
PROCTER & GAMBLE CO,JUVIAN FABRIC CARE CORPORATION
AUTONATION INC,"AN F. IMPORTS OF SEATTLE, INC."
TARGET CORP,"TARGET CLINIC MEDICAL ASSOCIATES MARYLAND, LLC"
LENNAR CORP,MARLBOROUGH MORTGAGE CORPORATION
WELLS FARGO & CO,"NORWEST VENTURE PARTNERS VII-A, LP"
DELL INC,DELL EQUIPMENT FUNDING L.P.
PROGRESSIVE CORP,"PROGRESSIVE RSC, INC"
MONSANTO CO,HOLDEN'S FOUNDATION SEEDS L.L.C.
PFIZER INC,COC I CORPORATION
PITNEY BOWES INC,PREFCO XIII LP INC
WELLS FARGO & CO,"FIRST DIALWEST ESCROW COMPANY, INC"
H&R BLOCK INC,"FREED MAXICK ABL SERVICES, INC/"
WELLS FARGO & CO,"WINCHESTER REO, LLC"
ECOLAB INC,"MIDLAND RESEARCH LABORATORIES, INC"
COMCAST CORP,LIBERTY MEDIA CORPORATION
WELLS FARGO & CO,MVP DISTRIBUTION PARTNERS
MASCO CORP,MASCO CABINETRY LLC
COMCAST CORP,"COMCAST ABB OF KIOWA, LLC"
CIGNA CORP,"CIGNA DENTAL HEALTH OF KANSAS, INC"
RYDER SYSTEM INC,"TRUCK TRANSERV, INC"
COMCAST CORP,"COMCAST OF NORTHERN ILLINOIS, INC"
LENNAR CORP,"LENNAR PACIFIC, INC"
FIFTH THIRD BANCORP,"HOME EQUITY OF AMERICA, INC"
ALLSTATE CORP,AMERICAN HERITAGE SERVICE COMPANY
MEDTRONIC INC,"MEDTRONIC INTERNATIONAL TRADING, INC"
CINTAS CORP,"MILLENNIUM MAT COMPANY, LLC"
COMCAST CORP,"COMCAST PHONE OF NORTHERN MARYLAND, INC"
DOVER CORP,DOVER BMCS ACQUISITION CORP
MASCO CORP,"MASCO CONTRACTOR SERVICES, LLC"
DUKE ENERGY CORP,DUKE ENERGY MORRO BAY LLC
CAMPBELL SOUP CO,CANFIN 2 HOLDINGS LLC
XEROX CORP,"CONSOLIDATED, INC"
LENNAR CORP,"LENNAR INSURANCE SERVICES, LLC"
CORNING INC,CORNING PROPERTY MANAGEMENT CORPORATION
CITIGROUP INC,ASSOCIATES FINANCIAL LIFE INSURANCE COMPANY
H&R BLOCK INC,"PREMIER MORTGAGE SERVICES OF WASHINGTON, INC"
ONEOK INC,"ONEOK PB COMPANY, L.L.C."
BB&T CORP,"CURTIS MORTGAGE COMPANY, INC"
COMCAST CORP,"UACC MIDWEST INSGT HOLDINGS, LLC"
COMERICA INC,"VRB SANTA PAULA DEVELOPMENT, LLC"
WELLS FARGO & CO,"AHG TAX CREDIT FUND XVI, L.P."
AES CORP,"CENTRAL VALLEY FUELS MANAGEMENT, INC. (CURRENT)"
WELLS FARGO & CO,"BENEFITELECT ALLIANCE, LLC"
AUTONATION INC,"AN CHEVROLET-ARROWHEAD, INC"
EBAY INC,"SHOPPING.COM (CALIFORNIA), INC."
PERRIGO CO,CLAY PARK DISTRIBUTORS INC
COMCAST CORP,NORTHWEST ILLINOIS TV CABLE CO
SYSCO CORP,"FRESHPOINT CENTRAL FLORIDA, INC"
WELLS FARGO & CO,"A.G. EDWARDS PRIVATE EQUITY PARTNERS QP II, L.P."
MASCO CORP,"BUILDER SERVICES GROUP, INC"
CIT GROUP INC,"THE CIT GROUP/SECURITIES INVESTMENT, INC. / U.S."
METLIFE INC,"CITISTREET ASSOCIATES OF TEXAS, INC"
COMCAST CORP,"COMCAST MO DELTA, INC"
COMCAST CORP,"COMCAST SPOTLIGHT, LLC"
DIRECTV,"NOVAVISION GROUP, INC"
PFIZER INC,COVX RESEARCH LLC
COMCAST CORP,"UNITED ARTISTS CABLE HOLDINGS, INC"
COMCAST CORP,"CLINTON CABLE TV INVESTORS, INC"
AUTONATION INC,"VANDERBEEK TRUCK HOLDING, LLC"
CLOROX CO,CLOROX SERVICES COMPANY
BROADCOM CORP,"ALTOCOM, INC"
WELLS FARGO & CO,"TCF GW/GA, LLC"
FLUOR CORP,II SIGNET TECHNOLOGY INC
AES CORP,"AES ZEPHYR 2, LLC"
PROGRESSIVE CORP,"PROGRESSIVE CORPORATE SUPPORT, INC"
COMCAST CORP,"COPLEY/COLONY, INC"
KLA TENCOR CORP,"VLSI STANDARDS, INC"
ALTRIA GROUP INC,"TECHNOLOGY ENTERPRISE COMPUTING WORKS, LLC"
COMCAST CORP,"DIGITAL CABLE RADIO ASSOCIATES, L.P."
CITIGROUP INC,"FAB HOLDINGS GP, LLC"
TARGET CORP,TGT ENERGY LLC
ASSURANT INC,UNION SECURITY LIFE INSURANCE COMPANY
WELLS FARGO & CO,WACHOVIA DEFEASANCE JPMC 2000-C9 LLC
SYSCO CORP,"FRESHPOINT CENTRAL CALIFORNIA, INC"
PROGRESSIVE CORP,"PROGRESSIVE AUTO PRO INSURANCE AGENCY, INC"
COMCAST CORP,"COMCAST OF RICHMOND, INC"
APACHE CORP,"AIRPORT CNG, LLC"
LENNAR CORP,"MOFFETT MEADOWS PARTNERS, LLC"
WELLS FARGO & CO,HOME SERVICES TITLE REINSURANCE COMPANY
XEROX CORP,XEROX EUROPEAN FUNDING LLC
APACHE CORP,APACHE FOUNDATION
CELGENE CORP,"SIGNAL PHARMACEUTICALS, LLC"
FEDEX CORP,"FEDEX GROUND PACKAGE SYSTEM, INC"
PRAXAIR INC,"CORROCON, INC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE GECCMC 2002-1 CULVER CENTER WEST LLC
MICROSOFT CORP,"MICROSOFT OPERATIONS PUERTO RICO, LLC"
YAHOO INC,"YAHOO! HISPANIC AMERICAS, LLC"
ALTRIA GROUP INC,UST LLC
DANAHER CORP,"OECO HOLDINGS, LLC"
CLOROX CO,CLOROX COMMERCIAL COMPANY
DOVER CORP,"OPW FUELING CONTAINMENT SYSTEMS, INC"
LENNAR CORP,"GENESEE VENTURE, LLC"
CIGNA CORP,LIFE INSURANCE COMPANY OF NORTH AMERICA
BB&T CORP,BB&T CAPITAL TRUST II
CLOROX CO,GLAD MANUFACTURING COMPANY
LENNAR CORP,"LENNAR FRESNO, INC"
CITIGROUP INC,"ASSOCIATED MADISON COMPANIES, INC"
WELLS FARGO & CO,WELLS FARGO SERVICES COMPANY
COMCAST CORP,"TCI CABLEVISION ASSOCIATES, INC"
FISERV INC,"FISERV INSURANCE SOLUTIONS, INC"
DOVER CORP,"KNOWLES INTERMEDIATE HOLDING, INC"
PITNEY BOWES INC,ADREMA LEASING CORPORATION
CATERPILLAR INC,"ADVANCED FILTRATION SERVICES, INC"
WALGREEN CO,"WALGREENS PHARMACY SERVICES EASTERN, LLC"
DANAHER CORP,"DOLAN-JENNER INDUSTRIES, INC"
COMCAST CORP,COMCAST MO FINANCING A
METLIFE INC,PREFCO X HOLDINGS LLC
FLUOR CORP,II PLANT PERFORMANCE SERVICES LLC
DANAHER CORP,"DELTA CONSOLIDATED INDUSTRIES, INC"
GENERAL MILLS INC,CEREALES PARTNERS LATIN AMERICA LLC
DUKE ENERGY CORP,"DUKE ENERGY GREENLEAF, LLC"
WELLS FARGO & CO,"ADVANTAGE HOME MORTGAGE, LLC"
AES CORP,"AES WIND, L.L.C."
DOVER CORP,"DOVER ELECTRONIC TECHNOLOGIES, INC"
XEROX CORP,"TML ENTERPRISES, INC"
CORNING INC,CORNING CABLE SYSTEMS LLC
WELLS FARGO & CO,WACHOVIA DEFEASANCE MSCI 1998-HF2 LLC
AES CORP,"AES TAIWAN, INC. (CURRENT)"
BMC SOFTWARE INC,"BMC SOFTWARE TEXAS, L.P."
CIGNA CORP,"I) CIGNA HEALTHCARE OF INDIANA, INC"
ALLSTATE CORP,"CHAMPION'S PRIDE ELECTRONICS AND TRIM, INC"
CIT GROUP INC,C.I.T. LEASING CORPORATION / U.S.
AMEREN CORP,"AMERENENERGY MEDINA VALLEY COGEN, L.L.C."
ORACLE CORP,ORACLE TUTOR CORPORATION
AES CORP,"AES WILLIAM HOLDING, INC. (CURRENT)"
XEROX CORP,XEROX CAPITAL TRUST II
XEROX CORP,"ACS HR SOLUTIONS WORLD SERVICES, LLC"
STRYKER CORP,STRYKER INTERNATIONAL INC
DUKE ENERGY CORP,DISCOVERY GAS TRANSMISSION LLC
COMCAST CORP,"COMCAST TELEPHONY COMMUNICATIONS OF PENNSYLVANIA, INC"
AMERICAN EXPRESS CO,"SECURITIES AMERICA ADVISORS, INC"
ONEOK INC,"ONEOK TEXAS RESOURCES, INC"
CITIGROUP INC,"FAB FINANCIAL, LP"
ECOLAB INC,STOVE PARTS SUPPLY COMPANY
MASCO CORP,BRASS-CRAFT WESTERN COMPANY
MASCO CORP,"THEMATIC ADVERTISING PRODUCTIONS, INC"
ALLSTATE CORP,"ALLSTATE MOTOR CLUB, INC"
AES CORP,"AES NA CENTRAL, L.L.C."
CITIGROUP INC,"THE CITIGROUP PRIVATE BANK EMPLOYEE CO-INVESTMENT PROGRAM II, LP"
AUTONATION INC,"RKR MOTORS, INC"
CAMPBELL SOUP CO,CAMPBELL FOODSERVICE COMPANY
AUTONATION INC,"BELL DODGE, LLC"
COMCAST CORP,"COMCAST OF GREATER FLORIDA/GEORGIA, INC"
WELLS FARGO & CO,"WELLS FARGO FINANCIAL SYSTEM VIRGINIA, INC"
CITIGROUP INC,"LT INVESTMENT I, LLC"
DIRECTV,"DTVLA BRAZIL INVESTMENT HOLDINGS, LLC"
LENNAR CORP,"LENNAR MS LEGACY, LLC"
WELLS FARGO & CO,"AM/F MANAGING MEMBER, LLC"
LENNAR CORP,"LENNAR NORTHPOINTE NORTH, LLC"
MEDTRONIC INC,"MEDTRONIC TRANSNEURONIX, INC"
ASSURANT INC,"VOYAGER SERVICE PROGRAMS, INC"
KELLOGG CO,ENSEMBLE FUNCTIONAL FOOD COMPANY
MASCO CORP,"SERVICE PARTNERS OF FLORIDA, LLC"
PRAXAIR INC,INTERNATIONAL CRYOGENIC EQUIPMENT CORPORATION
HARRIS CORP,"MARITIME COMMUNICATION SERVICES, INC"
MASCO CORP,"MASTERCHEM BRANDS, INC"
FLUOR CORP,"III FLUOR DANIEL ASIA, INC"
AUTONATION INC,"CARWELL, LLC"
PROCTER & GAMBLE CO,PROCTER & GAMBLE AUSTRALIA HOLDING LLC
GENERAL ELECTRIC CO,"GENERAL ELECTRIC INTERNATIONAL OPERATIONS COMPANY, INC"
BB&T CORP,BB&T CAPITAL TRUST I
BMC SOFTWARE INC,SOFTWARE CREDIT LP
SLM CORP,SLM EDUCATION CREDIT FINANCE CORPORATION
EBAY INC,MARKETPLACE INSURANCE INC
GENUINE PARTS CO,DRAGO SUPPLY COMPANY
CIT GROUP INC,"THE CIT GROUP/EQUIPMENT FINANCING, INC"
SAFEWAY INC,"RANDALL'S FINANCE COMPANY, INC"
PITNEY BOWES INC,PREFCO XII LP INC
AUTOZONE INC,"AUTOZONE NORTHEAST, INC. FKA ADAP, INC."
ECOLAB INC,ECOLAB MANUFACTURING INC
AUTONATION INC,"WESTGATE CHEVROLET, LTD"
METLIFE INC,"METLIFE CAPITAL, PARTNERSHIP"
SYSCO CORP,"SYSCO FOOD SERVICES OF ARKANSAS, LLC"
INTUIT INC,"SECURETAX.COM, INC."
DOVER CORP,"DIELECTRIC LABORATORIES, INC"
DIRECTV,"GREENLADY II, LLC"
AUTONATION INC,"FOX CHEVROLET, LLC"
CUMMINS INC,"CUMMINS CAL PACIFIC, LLC"
PERKINELMER INC,"PERKINELMER HEALTH SCIENCES, INC"
FLUOR CORP,II FLUOR DANIEL SOUTH AMERICA LIMITED
COMCAST CORP,"COMCAST ABB NOTE CONSOLIDATION HOLDINGS, LLC"
FIFTH THIRD BANCORP,FIFTH THIRD CAPITAL TRUST III
COMCAST CORP,"COMCAST SPOTLIGHT CONROE-HUNTSVILLE CABLE ADVERTISING, LP"
DELL INC,"LICENSE TECHNOLOGIES GROUP, INC"
COMCAST CORP,ERDOS LLC
EXPEDIA INC,"ROOM FINDERS, INC"
DOVER CORP,GRISWOLD PUMP COMPANY
CONOCOPHILLIPS,DUBAI PETROLEUM COMPANY
COMCAST CORP,"AT&T BROADBAND PHONE OF KENTUCKY, LLC"
VENTAS INC,"EC HALCYON REALTY, LLC"
SAFEWAY INC,"SAFEWAY STORES 87, INC"
GENERAL MILLS INC,"TPC-RF, INC"
NOBLE CORP,TRITON ENGINEERING SERVICES COMPANY
ONEOK INC,OKTEX PIPELINE COMPANY
CIGNA CORP,"GLOBAL PORTFOLIO STRATEGIES, INC"
EXXON MOBIL CORP,"CROSS TIMBERS ENERGY SERVICES, INC"
CITIGROUP INC,"SMITH BARNEY POTOMAC FUTURES FUND, L.P."
KINDER MORGAN INC,"1- KINDER MORGAN (DELAWARE), INC. - DE"
PFIZER INC,WYETH CONSUMER HEALTHCARE LTD
AUTONATION INC,"VALLEY CHEVROLET, LLC"
CIT GROUP INC,CFHE FUNDING COMPANY LLC / U.S.
3M CO,AEARO HOLDING LLC
MASCO CORP,"CLASS FUND, LLC"
WYNN RESORTS LTD,"WYNN PA, INC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE WACHOVIA 2003-C6 III LLC
FEDEX CORP,VI. FEDEX CUSTOMS BROKERAGE CORPORATION
LENNAR CORP,"THE BRIDGES AT RANCHO SANTA FE SALES COMPANY, INC"
COMERICA INC,CDV I INCORPORATED
WELLS FARGO & CO,"SUNFLOWER ASSET MANAGEMENT, INC"
CITIGROUP INC,"CCC FAIRWAYS, INC"
CORNING INC,"AXYGEN, INC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE MANAGEMENT-MIDLAND III LLC
EXXON MOBIL CORP,EXXONMOBIL EXPLORATION AND PRODUCTION MALAYSIA INC
COMCAST CORP,"COMCAST OF QUINCY, INC"
MASTERCARD INC,MASTERCARD BENEFICIARY TRUST
CLOROX CO,"CALTECH INDUSTRIES, INC"
DANAHER CORP,API WISCONSIN INC
WELLS FARGO & CO,WACHOVIA DEFEASANCE GSMSC II 2003-C1 LLC
AMEREN CORP,ENERGY RISK ASSURANCE COMPANY
RYDER SYSTEM INC,GLOBE MASTER INSURANCE COMPANY
CIGNA CORP,"CIGNA DENTAL HEALTH OF PENNSYLVANIA, INC"
DOVER CORP,BLACKMER SYSTEM ONE INC
MURPHY OIL CORP,CALEDONIA LAND COMPANY
FLUOR CORP,II FLUOR GLOBAL SOURCING AND SUPPLY INC
COMCAST CORP,"COMCAST SPORTS NY HOLDINGS, INC"
APACHE CORP,APACHE CR COMPANY
SYSCO CORP,"SYSCO CHICAGO, INC"
CITIGROUP INC,CELFOF GP CORP
EQUIFAX INC,"EQUIFAX FINANCE, INC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE FU-LB 1997-C2 II LLC
WHIRLPOOL CORP,"KITCHENAID, INC. (OHIO)"
AUTONATION INC,"C-CAR AUTO WHOLESALERS, INC"
WALT DISNEY CO,PIXAR
GENERAL ELECTRIC CO,"GE INTELLIGENT PLATFORMS EMBEDDED SYSTEMS, INC"
AES CORP,"AES GEH HOLDINGS, L.L.C."
MASCO CORP,BCG TRANSPORT CO
YAHOO INC,"FASTFORWARD NETWORKS,INC"
AUTONATION INC,"WALLACE IMPORTS, INC"
PUBLIC STORAGE,DIVERSIFIED STORAGE FUND
H&R BLOCK INC,BLOCK FINANCIAL CORPORATION/
TERADYNE INC,TERADYNE PHILIPPINES LIMITED
CITIGROUP INC,"NSPL, INC"
KROGER CO,THE LITTLE CLINIC OF TENNESSEE LLC
COMCAST CORP,"SIFD ONE, LTD"
PERRIGO CO,"PBM INTERNATIONAL HOLDINGS, INC"
DUKE ENERGY CORP,"HAWK'S HAVEN GOLF COURSE COMMUNITY DEVELOPERS, LLC"
ASSURANT INC,"UDC DENTAL CALIFORNIA, INC"
COMCAST CORP,"COMCAST OF FLORIDA, LP"
WELLS FARGO & CO,"WASHINGTON MORTGAGE, LLC"
NISOURCE INC,"COLUMBIA GAS TRANSMISSION, LLC"
PEPSICO INC,"SHOEBILL, LLC"
COMCAST CORP,"TELEVENTS OF FLORIDA, INC"
WELLS FARGO & CO,WELLS FARGO ADVISORS (ARGENTINA) LLC
COMCAST CORP,"TWO WAY TV (US), INC"
AUTONATION INC,"LOT 4 REAL ESTATE HOLDINGS, LLC"
WELLS FARGO & CO,"WELLS FARGO FINANCIAL SYSTEM MINNESOTA, INC"
WELLS FARGO & CO,"FIRST FOUNDATION MORTGAGE, LLC"
ONEOK INC,"ONEOK TEXAS ENERGY HOLDINGS, LLC"
CLOROX CO,JINGLES LLC
HORMEL FOODS CORP,"CREATIVE CONTRACT PACKAGING, LLC"
WELLS FARGO & CO,"WACHOVIA PRIVATE CAPITAL, INC"
INTUIT INC,"MEDFUSION, INC"
LENNAR CORP,"NORTH AMERICAN REAL ESTATE SERVICES, INC"
TARGET CORP,"TARGET STAFFORD URBAN RENEWAL, LLC"
VENTAS INC,"SUNRISE FIRST ASSISTED LIVING HOLDINGS, LLC"
PRAXAIR INC,DVCRF VENTURES INVESTMENT CORPORATION
CITIGROUP INC,"PRIMERICA FINANCIAL SERVICES, INC"
FASTENAL CO,FASTENAL CANADA COMPANY
DIRECTV,"MCOP HOLDINGS, INC"
PERKINELMER INC,"VIACORD, LLC"
AES CORP,"RED MOUNTAIN RIDGE WIND FARM, LLC"
EBAY INC,"MERCADOLIBRE, INC"
WELLS FARGO & CO,UNION STATION HOLDING COMPANY LLC
PEPSICO INC,"SEVEN-UP ASIA, INC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE LB-UBS 2006-C1 III LLC
HALLIBURTON CO,"HALLIBURTON ENERGY SERVICES, INC"
AUTONATION INC,LEXUS OF CERRITOS PARTNERSHIP
PEPSICO INC,"PEPSI-COLA METROPOLITAN BOTTLING COMPANY, INC"
FISERV INC,"FISERV FSC, INC"
APACHE CORP,"NILE WEAVERS, INC"
AUTONATION INC,"LEW WEBB'S IRVINE NISSAN, INC"
COMCAST CORP,"COMCAST OF BRYANT, INC"
COMCAST CORP,"COMCAST MO CABLE NEWS, INC"
XEROX CORP,"CONTENTGUARD, INC"
ELI LILLY & CO,LILLY VENTURES MANAGEMENT COMPANY LLC
COMCAST CORP,"COMCAST TELECOMMUNICATIONS OF MICHIGAN, LLC"
CITIGROUP INC,CITICORP HOLDINGS INC
AMEREN CORP,"AMERENENERGY MEDINA VALLEY OPERATIONS, L.L.C."
LENNAR CORP,"TEXAS PROFESSIONAL TITLE, INC. D/B/A NORTH AMERICAN TITLE COMPANY"
LENNAR CORP,"LEN-BRENTWOOD II, LLC"
BB&T CORP,SCOTT & STRINGFELLOW INC
COMCAST CORP,"COMCAST OF CALIFORNIA/MASSACHUSETTS/MICHIGAN/UTAH, INC"
COMCAST CORP,"COMCAST SPORTS HOLDING COMPANY, INC"
CITIGROUP INC,"CPI SURPRISE FARMS, LLC"
COMCAST CORP,"COMCAST GARDEN STATE, LLC"
YUM BRANDS INC,"YUM! GLOBAL INVESTMENTS III, LLC"
DANAHER CORP,LAUNCHCHANGE INC
WELLS FARGO & CO,"SELECT HOME MORTGAGE, LLC"
CLOROX CO,THE CLOROX PET PRODUCTS COMPANY
VULCAN MATERIALS CO,"VULCAN AGGREGATES COMPANY, LLC"
CLOROX CO,KINGSFORD MANUFACTURING COMPANY
AUTONATION INC,"NICHOLS GP, LLC"
WELLS FARGO & CO,"TCF WF-5, LLC"
AUTONATION INC,"AUTONATION GM LP, LLC"
AES CORP,"AES SUL, L.L.C."
LENNAR CORP,"GENESEE COMMUNITIES I, LLC"
LENNAR CORP,DALCO LAND COMPANY
LENNAR CORP,"U.S.H. LOS PRADOS, INC."
MASCO CORP,"SERVICE PARTNERS OF GEORGIA, LLC"
AUTONATION INC,"TEXAN FORD, INC"
DEAN FOODS CO,"BARBER ICE CREAM, LLC"
CIGNA CORP,"PHYSICIANS' HEALTH SYSTEMS, INC"
MEDTRONIC INC,MEDTRONIC AVECOR CARDIOVASCULAR INC
AUTONATION INC,"PORT CITY PONTIAC-GMC TRUCKS, INC"
DUKE ENERGY CORP,PAN ENERGY
COMCAST CORP,"PATTISON REALTY, INC"
VENTAS INC,IPC (HCN) HOLDING LLC
FISERV INC,"THE AFFINITY GROUP, INC"
HOSPIRA INC,"GENERIPHARM, INC"
VENTAS INC,DILLSBURG NOMINEE LLC
MASTERCARD INC,"MCA CUSTOMER EXPERIENCE GROUP, INC"
CIT GROUP INC,"CIT CHINA 6, INC"
WELLS FARGO & CO,"IILUSTRATED PROPERTIES MORTGAGE COMPANY, LLC"
DEAN FOODS CO,"DEAN NORTHEAST II, LLC"
PEPSICO INC,"S.W. FRITO-LAY, LTD"
CIT GROUP INC,THE CIT GROUP SECURITIZATION CORPORATION III / U.S.
NOBLE CORP,NOBLE BILL JENNINGS LLC
VENTAS INC,PARKER II MOB OWNERS LLC
AMERICAN EXPRESS CO,"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC"
CITIGROUP INC,"SPL 1, INC"
WELLS FARGO & CO,ASGI PRIVATE EQUITY PARTNERS QP 1999 L.P.
COMCAST CORP,"ELBERT COUNTY CABLE PARTNERS, L.P."
CITIGROUP INC,TARGETS TRUST XV
HALLIBURTON CO,"KBR HOLDINGS, LLC"
NVIDIA CORP,"PORTALPLAYER USA, INC"
ORACLE CORP,ORACLE AMERICAS INVESTMENT LLC
WELLS FARGO & CO,WELLS FARGO FINANCIAL AUTO OWNER TRUST 2005-A
AUTONATION INC,"BANKSTON CJ GP, LLC"
FLUOR CORP,II FLUOR TECHNICAL SERVICES LIMITED
MEDTRONIC INC,"MEDTRONIC EMERGENCY RESPONSE SYSTEMS INTERNATIONAL, INC"
DUKE ENERGY CORP,"GENERAL GAS COMPANY, LP"
LENNAR CORP,"LNC COMMUNITIES IX, LLC"
CIGNA CORP,"H) CIGNA HEALTHCARE OF ILLINOIS, INC"
LENNAR CORP,TITLEAMERICA INSURANCE CORPORATION
METLIFE INC,"ALICO PROPERTIES, INC"
RAYTHEON CO,"BEECHCRAFT UE-308 LEASING, INC"
DANAHER CORP,"PACIFIC SCIENTIFIC ENERGETICS COMPANY, HOLLISTER DIVISION, LLC"
COMCAST CORP,"ALABAMA T. V. CABLE, INC."
MOLEX INC,"MOLEX INTERNATIONAL, INC"
CIT GROUP INC,NCT RECEIVABLES LLC / USA
CITIGROUP INC,CMF DRURY CAPITAL MASTER L.P.
AES CORP,"AES ORIENT, INC"
LENNAR CORP,"RESTORATION DEVELOPMENT, LLC"
PROGRESSIVE CORP,"1890 INSURANCE AGENCY, INC"
V F CORP,JANSPORT APPAREL CORP
CITIGROUP INC,CITIGROUP FOREX INC
YUM BRANDS INC,"YSV HOLDINGS, LLC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE LB-UBS 2001-C3 III LLC
PFIZER INC,"BIO-VAC LABS, INC"
ALTRIA GROUP INC,PMCC INVESTORS NO. 3 CORPORATION
COMCAST CORP,"SSI 2, INC"
CITIGROUP INC,ASSOCIATES WORLD CAPITAL CORPORATION
HALLIBURTON CO,"OILFIELD TELECOMMUNICATIONS, LLC"
AES CORP,"AES NEW YORK FUNDING, L.L.C. (CURRENT)"
COMCAST CORP,"COMCAST LM INVESTMENT, INC"
WALT DISNEY CO,"ABC FAMILY WORLDWIDE, INC"
SYMANTEC CORP,DELRINA (WYOMING) COMPANY
CITIGROUP INC,ASIA INVESTORS II SERVICES HOLDING LLC
WELLS FARGO & CO,"EDGEWORTH SCP, LLC"
EBAY INC,"STUBHUB, INC"
COMCAST CORP,"COMCAST OF ILLINOIS X, LLC"
AUTODESK INC,DISCREET LOGIC INC
AES CORP,"NEWBURGH HYDRO, LLC"
METLIFE INC,"334 MADISON EURO INVESTMENTS, INC"
LENNAR CORP,"PRIDE HOMES TITLE, LLC"
SYSCO CORP,DOWD FOOD DISCOUNT CORP.
LENNAR CORP,"CONCORD CITY CENTRE, LLC"
PITNEY BOWES INC,"HISTORIC BOARDWALK HALL, L.L.C."
LENNAR CORP,"SEAPORT MARINA, LLC"
CITIGROUP INC,WOOSTER CBNA LOAN FUNDING LLC
GENERAL ELECTRIC CO,"GE WIND ENERGY, LLC"
YAHOO INC,"EGROUPS, INC"
STAPLES INC,"QUILL LINCOLNSHIRE, INC"
BB&T CORP,"SHEFFIELD FINANCIAL, LLC"
ASSURANT INC,UNITED FAMILY LIFE INSURANCE COMPANY
LENNAR CORP,"BUILDERS LP, INC"
LENNAR CORP,"UAMC ASSET CORP, II"
COMCAST CORP,"OVATIONS FOOD SERVICES I, INC"
AES CORP,TECUMSEH COAL CORPORATION
WELLS FARGO & CO,"AHG TAX CREDIT FUND III, L.L.C."
EQUIFAX INC,NEW MANAGEMENT SERVICES LLC
CARMAX INC,"CARMAX AUTO SUPERSTORES WEST COAST, INC"
EQUIFAX INC,EQUIFAX INFORMATION SERVICES LLC
WELLS FARGO & CO,"WELLS FARGO FINANCIAL VIRGINIA, INC"
XCEL ENERGY INC,UTILITY ENGINEERING CORP
PRAXAIR INC,"CBI INVESTMENTS, INC"
METLIFE INC,BORDERLAND INVESTMENT
COMCAST CORP,"IR-TCI PARTNERS V, L.P."
WELLS FARGO & CO,WELLS FARGO FINANCIAL AUTO OWNER TRUST 2004-A
DUKE ENERGY CORP,"EGAN HUB STORAGE, LLC"
DANAHER CORP,HACH ULTRA ANALYTICS JAPAN LLC
WEYERHAEUSER CO,"MARACAY SONORAN FOOTHILLS, LLC"
METLIFE INC,"METLIFE SECURITIES, INC"
CIT GROUP INC,EDUCATION FUNDING CAPITAL TRUST-II
COMCAST CORP,COMCAST CABLE FUNDING
DOVER CORP,"K&L MICROWAVE, INC"
SLM CORP,VL FUNDING LLC
PFIZER INC,TRANS-EUROPE HOLDINGS INC
DOW CHEMICAL CO,GENERAL LATEX AND CHEMICAL CORPORATION (OF GA.)
CAMPBELL SOUP CO,"CSC STANDARDS, INC"
AUTONATION INC,"AN COLLISION CENTER OF LAS VEGAS, INC"
PFIZER INC,WYETH-AYERST LEDERLE LLC
AUTONATION INC,"CHARLIE THOMAS FORD, INC"
AUTONATION INC,"TEXAN LINCOLN-MERCURY, INC"
PFIZER INC,"CONTINENTAL PHARMA, INC"
APACHE CORP,"CLEARWATER INTERESTS, LLC"
AUTONATION INC,AN IMPORTS ON WESTON ROAD
CITIGROUP INC,"CITICORP VENDOR FINANCE, INC"
WELLS FARGO & CO,WACHOVIA DEFEASANCE JPMC 2002-C2 III LLC
CITIGROUP INC,RESELLER FINANCE CORPORATION
CORNING INC,DOW CORNING CORPORATION
